****在954475045发送比赛将在10分钟之后开始
****在952792192发送比赛将在10分钟之后开始
****在976813092发送比赛将在10分钟之后开始
****在1005680380发送比赛将在10分钟之后开始
****在863714537发送比赛将在10分钟之后开始
****在954475045发送每两题之间只有1分钟的时间回答
****在952792192发送每两题之间只有1分钟的时间回答
****在976813092发送每两题之间只有1分钟的时间回答
****在1005680380发送每两题之间只有1分钟的时间回答
****在863714537发送每两题之间只有1分钟的时间回答
 ***** 635691684风   在 群976813092 说了 机器人炸了我也不想管了。
****在954475045发送比赛将在10分钟之后开始
****在952792192发送比赛将在10分钟之后开始
****在976813092发送比赛将在10分钟之后开始
****在1005680380发送比赛将在10分钟之后开始
****在863714537发送比赛将在10分钟之后开始
****在954475045发送每两题之间只有1分钟的时间回答
****在952792192发送每两题之间只有1分钟的时间回答
****在976813092发送每两题之间只有1分钟的时间回答
****在1005680380发送每两题之间只有1分钟的时间回答
****在863714537发送每两题之间只有1分钟的时间回答
****在954475045发送只要回答的语句中包含答案字符即可算作回答正确。。。
****在952792192发送只要回答的语句中包含答案字符即可算作回答正确。。。
****在976813092发送只要回答的语句中包含答案字符即可算作回答正确。。。
****在1005680380发送只要回答的语句中包含答案字符即可算作回答正确。。。
****在863714537发送只要回答的语句中包含答案字符即可算作回答正确。。。
****在954475045发送得分情况按照第一名5分，第二名4分，第三名3分，其余回答正确的1分
****在952792192发送得分情况按照第一名5分，第二名4分，第三名3分，其余回答正确的1分
****在976813092发送得分情况按照第一名5分，第二名4分，第三名3分，其余回答正确的1分
****在1005680380发送得分情况按照第一名5分，第二名4分，第三名3分，其余回答正确的1分
****在863714537发送得分情况按照第一名5分，第二名4分，第三名3分，其余回答正确的1分
 ***** 1413445748岛起雾♡   在 群976813092 说了 [CQ:reply,id=371920724][CQ:at,qq=2393097484] [CQ:at,qq=2393097484] [CQ:face,id=306][CQ:face,id=306]，我更想玩你了
****在954475045发送规则，在1分钟之内回答答案，只要回答中包含答案的字，即可算作回答正确，将会有30题，因为最近事情比较忙，这个是赶工出来的，所以比较弱智。。
****在952792192发送规则，在1分钟之内回答答案，只要回答中包含答案的字，即可算作回答正确，将会有30题，因为最近事情比较忙，这个是赶工出来的，所以比较弱智。。
****在976813092发送规则，在1分钟之内回答答案，只要回答中包含答案的字，即可算作回答正确，将会有30题，因为最近事情比较忙，这个是赶工出来的，所以比较弱智。。
****在1005680380发送规则，在1分钟之内回答答案，只要回答中包含答案的字，即可算作回答正确，将会有30题，因为最近事情比较忙，这个是赶工出来的，所以比较弱智。。
****在863714537发送规则，在1分钟之内回答答案，只要回答中包含答案的字，即可算作回答正确，将会有30题，因为最近事情比较忙，这个是赶工出来的，所以比较弱智。。
****在954475045发送 	Q1.你知道风铃机器人的创作者叫什么吗？（2字）
****在952792192发送 	Q1.你知道风铃机器人的创作者叫什么吗？（2字）
****在976813092发送 	Q1.你知道风铃机器人的创作者叫什么吗？（2字）
****在1005680380发送 	Q1.你知道风铃机器人的创作者叫什么吗？（2字）
****在863714537发送 	Q1.你知道风铃机器人的创作者叫什么吗？（2字）
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 哺乳科
 takepart 2718417985🌿   在 群1005680380 说了 。。。
 takepart 315310152计算19曾炳辉   在 群372502869 说了 我还不会二叉树
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 脯乳
 takepart 2718417985🌿   在 群1005680380 说了 哺乳科
****在863714537发送queshi
 takepart 317803349李老father   在 群863714537 说了 骆驼科
****在1005680380发送queshi
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 骆驼科
****在954475045发送1分钟到了，本次答案为：骆驼科
第1名为人类低质量Demo获得5分
第2名为自己获得4分
第3名为李老father获得3分
****在952792192发送1分钟到了，本次答案为：骆驼科
第1名为人类低质量Demo获得5分
第2名为自己获得4分
第3名为李老father获得3分
****在976813092发送1分钟到了，本次答案为：骆驼科
第1名为人类低质量Demo获得5分
第2名为自己获得4分
第3名为李老father获得3分
****在1005680380发送1分钟到了，本次答案为：骆驼科
第1名为人类低质量Demo获得5分
第2名为自己获得4分
第3名为李老father获得3分
****在863714537发送1分钟到了，本次答案为：骆驼科
第1名为人类低质量Demo获得5分
第2名为自己获得4分
第3名为李老father获得3分
****在954475045发送	Q21、在我国，什么省份被戏称为“赛尔号”？（3字）
****在952792192发送	Q21、在我国，什么省份被戏称为“赛尔号”？（3字）
****在976813092发送	Q21、在我国，什么省份被戏称为“赛尔号”？（3字）
****在1005680380发送	Q21、在我国，什么省份被戏称为“赛尔号”？（3字）
****在863714537发送	Q21、在我国，什么省份被戏称为“赛尔号”？（3字）
 takepart 315310152计算19曾炳辉   在 群372502869 说了 静dalao多学一个月就能吊打我了
 takepart 850419987时间会证明一切   在 群952792192 说了 河南
 takepart 2718417985🌿   在 群1005680380 说了 [CQ:image,file=de50bf09b975e4c9963c2eda4e7a8925.image]
 takepart 317803349李老father   在 群863714537 说了 好家伙
****在952792192发送queshi
 takepart 850419987时间会证明一切   在 群952792192 说了 河南省
 takepart 317803349李老father   在 群863714537 说了 赛尔号？这不是动画片吗
 takepart 2718417985🌿   在 群1005680380 说了 [CQ:image,file=1665bff682c0857459c33b0c104312a7.image]
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 ？？？？
****在952792192发送queshi
 takepart 315310152自己   在 群952792192 说了 河南省
 takepart 315310152自己   在 群952792192 说了 这个为啥呀
 takepart 2718417985🌿   在 群1005680380 说了 哈哈哈
****在863714537发送queshi
 takepart 317803349李老father   在 群863714537 说了 河南省
 takepart 850419987时间会证明一切   在 群952792192 说了 不知道
****在1005680380发送queshi
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 河南省
 takepart 850419987时间会证明一切   在 群952792192 说了 形状吧
 takepart 2718417985🌿   在 群1005680380 说了 怎么盗我图
 takepart 2718417985🌿   在 群1005680380 说了 [CQ:image,file=1665bff682c0857459c33b0c104312a7.image]
****在954475045发送1分钟到了，本次答案为：河南省
第1名为时间会证明一切获得5分
第2名为自己获得4分
第3名为李老father获得3分
****在952792192发送1分钟到了，本次答案为：河南省
第1名为时间会证明一切获得5分
第2名为自己获得4分
第3名为李老father获得3分
****在976813092发送1分钟到了，本次答案为：河南省
第1名为时间会证明一切获得5分
第2名为自己获得4分
第3名为李老father获得3分
****在1005680380发送1分钟到了，本次答案为：河南省
第1名为时间会证明一切获得5分
第2名为自己获得4分
第3名为李老father获得3分
****在863714537发送1分钟到了，本次答案为：河南省
第1名为时间会证明一切获得5分
第2名为自己获得4分
第3名为李老father获得3分
****在954475045发送	Q22、“相对论”是谁提出来的理论？（4字）
****在952792192发送	Q22、“相对论”是谁提出来的理论？（4字）
****在976813092发送	Q22、“相对论”是谁提出来的理论？（4字）
****在1005680380发送	Q22、“相对论”是谁提出来的理论？（4字）
****在863714537发送	Q22、“相对论”是谁提出来的理论？（4字）
****在952792192发送queshi
 takepart 315310152自己   在 群952792192 说了 爱因斯坦
****在952792192发送queshi
 takepart 850419987时间会证明一切   在 群952792192 说了 爱因斯坦
****在1005680380发送queshi
 takepart 2718417985🌿   在 群1005680380 说了 爱因斯坦
 takepart 850419987时间会证明一切   在 群952792192 说了 靠
 takepart 850419987时间会证明一切   在 群952792192 说了 你手速
 takepart 850419987时间会证明一切   在 群952792192 说了 太快了
 takepart 850419987时间会证明一切   在 群952792192 说了 显得我很无知
****在954475045发送queshi
 takepart 1184732187人类低质量Demo   在 群954475045 说了 爱因斯坦
 takepart 850419987时间会证明一切   在 群952792192 说了 好吧
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 [CQ:image,file=0acdb7c2bd8778f55ceda4e9c7169a01.image]
****在863714537发送queshi
 takepart 317803349李老father   在 群863714537 说了 爱因斯坦
 takepart 315310152自己   在 群952792192 说了 何大佬肯定懂啊
 takepart 850419987时间会证明一切   在 群952792192 说了 不懂
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 报名
 takepart 315310152自己   在 群952792192 说了 [CQ:face,id=111]
****在954475045发送1分钟到了，本次答案为：爱因斯坦
第1名为自己获得5分
第2名为时间会证明一切获得4分
第3名为🌿获得3分
****在952792192发送1分钟到了，本次答案为：爱因斯坦
第1名为自己获得5分
第2名为时间会证明一切获得4分
第3名为🌿获得3分
****在976813092发送1分钟到了，本次答案为：爱因斯坦
第1名为自己获得5分
第2名为时间会证明一切获得4分
第3名为🌿获得3分
****在1005680380发送1分钟到了，本次答案为：爱因斯坦
第1名为自己获得5分
第2名为时间会证明一切获得4分
第3名为🌿获得3分
****在863714537发送1分钟到了，本次答案为：爱因斯坦
第1名为自己获得5分
第2名为时间会证明一切获得4分
第3名为🌿获得3分
****在954475045发送	Q23、太阳系中，距离太阳最近的行星的英文名字叫做什么（7字英文）
****在952792192发送	Q23、太阳系中，距离太阳最近的行星的英文名字叫做什么（7字英文）
****在976813092发送	Q23、太阳系中，距离太阳最近的行星的英文名字叫做什么（7字英文）
****在1005680380发送	Q23、太阳系中，距离太阳最近的行星的英文名字叫做什么（7字英文）
****在863714537发送	Q23、太阳系中，距离太阳最近的行星的英文名字叫做什么（7字英文）
 takepart 850419987时间会证明一切   在 群952792192 说了 涅普顿
 takepart 317803349李老father   在 群863714537 说了 mercurio
 takepart 317803349李老father   在 群863714537 说了 mercury
 takepart 850419987时间会证明一切   在 群952792192 说了 啊
 takepart 315310152自己   在 群952792192 说了 金星
 takepart 850419987时间会证明一切   在 群952792192 说了 怎么写
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 Jupiter
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 Jupiter
 takepart 2718417985🌿   在 群1005680380 说了 Saturn
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 ？？？
 takepart 850419987时间会证明一切   在 群952792192 说了 Neptune
 takepart 2718417985🌿   在 群1005680380 说了 [CQ:image,file=1665bff682c0857459c33b0c104312a7.image]
 takepart 317803349李老father   在 群863714537 说了 还真对了
 takepart 850419987时间会证明一切   在 群952792192 说了 最近》？
****在863714537发送queshi
 takepart 317803349李老father   在 群863714537 说了 Mercury
 takepart 850419987时间会证明一切   在 群952792192 说了 水
****在952792192发送queshi
 takepart 315310152自己   在 群952792192 说了 Mercury
 takepart 850419987时间会证明一切   在 群952792192 说了 怎么写
****在1005680380发送queshi
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 Mercury
 takepart 850419987时间会证明一切   在 群952792192 说了 我写了最远
 takepart 850419987时间会证明一切   在 群952792192 说了 无语
****在954475045发送1分钟到了，本次答案为：Mercury
第1名为李老father获得5分
第2名为自己获得4分
第3名为小刻，我的小刻！获得3分
****在952792192发送1分钟到了，本次答案为：Mercury
第1名为李老father获得5分
第2名为自己获得4分
第3名为小刻，我的小刻！获得3分
****在976813092发送1分钟到了，本次答案为：Mercury
第1名为李老father获得5分
第2名为自己获得4分
第3名为小刻，我的小刻！获得3分
****在1005680380发送1分钟到了，本次答案为：Mercury
第1名为李老father获得5分
第2名为自己获得4分
第3名为小刻，我的小刻！获得3分
****在863714537发送1分钟到了，本次答案为：Mercury
第1名为李老father获得5分
第2名为自己获得4分
第3名为小刻，我的小刻！获得3分
****在954475045发送	Q24、niconico御三家中，除了V家、东方，还有什么？（4字）
****在952792192发送	Q24、niconico御三家中，除了V家、东方，还有什么？（4字）
****在976813092发送	Q24、niconico御三家中，除了V家、东方，还有什么？（4字）
****在1005680380发送	Q24、niconico御三家中，除了V家、东方，还有什么？（4字）
****在863714537发送	Q24、niconico御三家中，除了V家、东方，还有什么？（4字）
 takepart 2718417985🌿   在 群1005680380 说了 [CQ:image,file=7f24d9d70f4164de778f1aa44a58a730.image]
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 初音
 takepart 850419987时间会证明一切   在 群952792192 说了 哇
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 [CQ:face,id=267]
 takepart 850419987时间会证明一切   在 群952792192 说了 这是什么
 takepart 850419987时间会证明一切   在 群952792192 说了 nico
 takepart 315310152自己   在 群952792192 说了 洛天依
 takepart 317803349李老father   在 群863714537 说了 [CQ:image,file=31bfeed507ecc083baea0564be791941.image]
 takepart 315310152自己   在 群952792192 说了 型月
****在952792192发送queshi
 takepart 635691684小小贝贝   在 群952792192 说了 [CQ:image,file=c411667dbf880fc8c9c49f71fe4cef85.image]偶像大师
 takepart 635691684小小贝贝   在 群952792192 说了 [CQ:image,file=c411667dbf880fc8c9c49f71fe4cef85.image]
****在1005680380发送queshi
 takepart 2718417985🌿   在 群1005680380 说了 偶像大师
****在1005680380发送queshi
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 偶像大师
****在952792192发送queshi
 takepart 850419987时间会证明一切   在 群952792192 说了 偶像大师
 takepart 850419987时间会证明一切   在 群952792192 说了 哇
****在954475045发送1分钟到了，本次答案为：偶像大师
第1名为小小贝贝获得5分
第2名为🌿获得4分
第3名为小刻，我的小刻！获得3分
****在952792192发送1分钟到了，本次答案为：偶像大师
第1名为小小贝贝获得5分
第2名为🌿获得4分
第3名为小刻，我的小刻！获得3分
****在976813092发送1分钟到了，本次答案为：偶像大师
第1名为小小贝贝获得5分
第2名为🌿获得4分
第3名为小刻，我的小刻！获得3分
****在1005680380发送1分钟到了，本次答案为：偶像大师
第1名为小小贝贝获得5分
第2名为🌿获得4分
第3名为小刻，我的小刻！获得3分
****在863714537发送1分钟到了，本次答案为：偶像大师
第1名为小小贝贝获得5分
第2名为🌿获得4分
第3名为小刻，我的小刻！获得3分
****在954475045发送	Q25、在bilibili曾经有一个人的翻唱爱的供养，一直占据了bilibili中“爱的供养”的搜索榜第一，请问这个人是谁？（4字）
****在952792192发送	Q25、在bilibili曾经有一个人的翻唱爱的供养，一直占据了bilibili中“爱的供养”的搜索榜第一，请问这个人是谁？（4字）
****在976813092发送	Q25、在bilibili曾经有一个人的翻唱爱的供养，一直占据了bilibili中“爱的供养”的搜索榜第一，请问这个人是谁？（4字）
****在1005680380发送	Q25、在bilibili曾经有一个人的翻唱爱的供养，一直占据了bilibili中“爱的供养”的搜索榜第一，请问这个人是谁？（4字）
****在863714537发送	Q25、在bilibili曾经有一个人的翻唱爱的供养，一直占据了bilibili中“爱的供养”的搜索榜第一，请问这个人是谁？（4字）
 takepart 850419987时间会证明一切   在 群952792192 说了 还真是
 takepart 850419987时间会证明一切   在 群952792192 说了 不懂啊
 takepart 2718417985🌿   在 群1005680380 说了 [CQ:image,file=1665bff682c0857459c33b0c104312a7.image]
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 挚
****在952792192发送queshi
 takepart 315310152自己   在 群952792192 说了 神威鬼鸣
 takepart 2718417985🌿   在 群1005680380 说了 蒙古上单
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 草
 takepart 2718417985🌿   在 群1005680380 说了 哈哈哈
 takepart 850419987时间会证明一切   在 群952792192 说了 [CQ:reply,id=1765652722][CQ:at,qq=2489941934] [CQ:at,qq=2489941934] 这个为什么不行
 takepart 317803349李老father   在 群863714537 说了 https://m.bilibili.com › video
周传雄《我的心太乱》好听惊艳改编！【超清】
小刚与周传雄都是他，这不用撕，只是知道的早晚不同，不过以前他写词时用一个名字，唱歌时用另外一个名字。 可以去查原来的歌曲与他给别人写的歌。https://m.bilibili.com › video
周传雄《我的心太乱》好听惊艳改编！【超清】
小刚与周传雄都是他，这不用撕，只是知道的早晚不同，不过以前他写词时用一个名字，唱歌时用另外一个名字。 可以去查原来的歌曲与他给别人写的歌。
 takepart 850419987时间会证明一切   在 群952792192 说了 哦
****在954475045发送1分钟到了，本次答案为：神威鬼鸣
第1名为自己获得5分
****在952792192发送1分钟到了，本次答案为：神威鬼鸣
第1名为自己获得5分
****在976813092发送1分钟到了，本次答案为：神威鬼鸣
第1名为自己获得5分
****在1005680380发送1分钟到了，本次答案为：神威鬼鸣
第1名为自己获得5分
****在863714537发送1分钟到了，本次答案为：神威鬼鸣
第1名为自己获得5分
****在954475045发送	Q26、小说《三体》中，第二任“执剑人”是谁？
****在952792192发送	Q26、小说《三体》中，第二任“执剑人”是谁？
****在976813092发送	Q26、小说《三体》中，第二任“执剑人”是谁？
****在1005680380发送	Q26、小说《三体》中，第二任“执剑人”是谁？
****在863714537发送	Q26、小说《三体》中，第二任“执剑人”是谁？
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 帅乐之神？？？
****在952792192发送queshi
 takepart 315310152自己   在 群952792192 说了 程心
 takepart 850419987时间会证明一切   在 群952792192 说了 三体
 takepart 2718417985🌿   在 群1005680380 说了 神威鬼鸣
 takepart 2718417985🌿   在 群1005680380 说了 [CQ:image,file=69319581135ce78f42b46797b5e02053.image]
 takepart 315310152自己   在 群952792192 说了 程心太圣母了。。。。
****在1005680380发送queshi
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 程心
****在1005680380发送queshi
 takepart 2718417985🌿   在 群1005680380 说了 程心
****在863714537发送queshi
 takepart 317803349李老father   在 群863714537 说了 与此同时，程心当选为第二任执剑人，深知程心无法胜任执剑人的三体世界立刻发起了对地球黑暗森林威慑系统的打击。 程心放弃威慑操作，坐视地球上的三个引力波发射台被摧毁。
https://zh.wikipedia.org › zh-hans

 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 郑爽
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 肖战
 takepart 2718417985🌿   在 群1005680380 说了 。。。。
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 吴亦凡
****在954475045发送1分钟到了，本次答案为：程心
第1名为自己获得5分
第2名为小刻，我的小刻！获得4分
第3名为🌿获得3分
****在952792192发送1分钟到了，本次答案为：程心
第1名为自己获得5分
第2名为小刻，我的小刻！获得4分
第3名为🌿获得3分
****在976813092发送1分钟到了，本次答案为：程心
第1名为自己获得5分
第2名为小刻，我的小刻！获得4分
第3名为🌿获得3分
****在1005680380发送1分钟到了，本次答案为：程心
第1名为自己获得5分
第2名为小刻，我的小刻！获得4分
第3名为🌿获得3分
****在863714537发送1分钟到了，本次答案为：程心
第1名为自己获得5分
第2名为小刻，我的小刻！获得4分
第3名为🌿获得3分
****在954475045发送	Q27、作品《world.execute(me);》是谁唱的？（4字，区分大小写）
****在952792192发送	Q27、作品《world.execute(me);》是谁唱的？（4字，区分大小写）
****在976813092发送	Q27、作品《world.execute(me);》是谁唱的？（4字，区分大小写）
****在1005680380发送	Q27、作品《world.execute(me);》是谁唱的？（4字，区分大小写）
****在863714537发送	Q27、作品《world.execute(me);》是谁唱的？（4字，区分大小写）
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 ？
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 什么东西？
 takepart 315310152自己   在 群952792192 说了 mili
 takepart 2718417985🌿   在 群1005680380 说了 [CQ:image,file=de50bf09b975e4c9963c2eda4e7a8925.image]
****在952792192发送queshi
 takepart 315310152自己   在 群952792192 说了 Mili
****在863714537发送queshi
 takepart 317803349李老father   在 群863714537 说了 Mili
****在1005680380发送queshi
 takepart 2718417985🌿   在 群1005680380 说了 Mili
****在1005680380发送queshi
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 Mili
****在954475045发送1分钟到了，本次答案为：Mili
第1名为自己获得5分
第2名为李老father获得4分
第3名为🌿获得3分
****在952792192发送1分钟到了，本次答案为：Mili
第1名为自己获得5分
第2名为李老father获得4分
第3名为🌿获得3分
****在976813092发送1分钟到了，本次答案为：Mili
第1名为自己获得5分
第2名为李老father获得4分
第3名为🌿获得3分
****在1005680380发送1分钟到了，本次答案为：Mili
第1名为自己获得5分
第2名为李老father获得4分
第3名为🌿获得3分
****在863714537发送1分钟到了，本次答案为：Mili
第1名为自己获得5分
第2名为李老father获得4分
第3名为🌿获得3分
****在954475045发送	Q28、希腊学者的爱情观，被称为什么？（6字）
****在952792192发送	Q28、希腊学者的爱情观，被称为什么？（6字）
****在976813092发送	Q28、希腊学者的爱情观，被称为什么？（6字）
****在1005680380发送	Q28、希腊学者的爱情观，被称为什么？（6字）
****在863714537发送	Q28、希腊学者的爱情观，被称为什么？（6字）
 takepart 635691684风   在 群976813092 说了 [CQ:image,file=34f5a830d852fecb3d4c1b0ee3febe88.image]
****在1005680380发送queshi
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 柏拉图式爱情
 takepart 315310152自己   在 群952792192 说了 柏拉图
****在1005680380发送queshi
 takepart 2718417985🌿   在 群1005680380 说了 柏拉图式爱情
****在863714537发送queshi
 takepart 317803349李老father   在 群863714537 说了 柏拉图式爱情
 takepart 315310152自己   在 群952792192 说了 叔本华
****在952792192发送queshi
 takepart 315310152自己   在 群952792192 说了 柏拉图式爱情
 takepart 317803349李老father   在 群863714537 说了 好家伙一共几题？
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 幸亏我知道没有复制
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 [CQ:face,id=178]
 takepart 2718417985🌿   在 群1005680380 说了 洁哥装三材料
 takepart 850419987时间会证明一切   在 群952792192 说了 这么恐怖的吗
 takepart 2718417985🌿   在 群1005680380 说了 太🌿了吧
 takepart 2718417985🌿   在 群1005680380 说了 [CQ:image,file=1665bff682c0857459c33b0c104312a7.image]
****在954475045发送1分钟到了，本次答案为：柏拉图式爱情
第1名为小刻，我的小刻！获得5分
第2名为🌿获得4分
第3名为李老father获得3分
****在952792192发送1分钟到了，本次答案为：柏拉图式爱情
第1名为小刻，我的小刻！获得5分
第2名为🌿获得4分
第3名为李老father获得3分
****在976813092发送1分钟到了，本次答案为：柏拉图式爱情
第1名为小刻，我的小刻！获得5分
第2名为🌿获得4分
第3名为李老father获得3分
****在1005680380发送1分钟到了，本次答案为：柏拉图式爱情
第1名为小刻，我的小刻！获得5分
第2名为🌿获得4分
第3名为李老father获得3分
****在863714537发送1分钟到了，本次答案为：柏拉图式爱情
第1名为小刻，我的小刻！获得5分
第2名为🌿获得4分
第3名为李老father获得3分
****在954475045发送	Q29、一加一等于几？（1字）
****在952792192发送	Q29、一加一等于几？（1字）
****在976813092发送	Q29、一加一等于几？（1字）
****在1005680380发送	Q29、一加一等于几？（1字）
****在863714537发送	Q29、一加一等于几？（1字）
****在1005680380发送queshi
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 2
****在952792192发送queshi
 takepart 850419987时间会证明一切   在 群952792192 说了 2
****在1005680380发送queshi
 takepart 2718417985🌿   在 群1005680380 说了 2
 takepart 850419987时间会证明一切   在 群952792192 说了 二
 takepart 315310152自己   在 群952792192 说了 二
 takepart 317803349李老father   在 群863714537 说了 二
****在952792192发送queshi
 takepart 315310152自己   在 群952792192 说了 2
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 草
****在863714537发送queshi
 takepart 317803349李老father   在 群863714537 说了 2
 takepart 2718417985🌿   在 群1005680380 说了 [CQ:image,file=1665bff682c0857459c33b0c104312a7.image]
 takepart 850419987时间会证明一切   在 群952792192 说了 qs
 takepart 850419987时间会证明一切   在 群952792192 说了 反过来
 takepart 850419987时间会证明一切   在 群952792192 说了 sb
 takepart 315310152自己   在 群952792192 说了 确实
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 [CQ:reply,id=-1630933970][CQ:at,qq=2638379627] [CQ:at,qq=2638379627] 就你离谱
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 [CQ:face,id=178]
 takepart 2718417985🌿   在 群1005680380 说了 [CQ:image,file=e3e105d9f6f74e7785375702bfc4d08e.image]
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 三
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 亖
 takepart 850419987时间会证明一切   在 群952792192 说了 (sb)^T= qs
 takepart 2718417985🌿   在 群1005680380 说了 离谱
 takepart 850419987时间会证明一切   在 群952792192 说了 (qs)^T=sb
****在954475045发送1分钟到了，本次答案为：2
第1名为小刻，我的小刻！获得5分
第2名为时间会证明一切获得4分
第3名为🌿获得3分
****在952792192发送1分钟到了，本次答案为：2
第1名为小刻，我的小刻！获得5分
第2名为时间会证明一切获得4分
第3名为🌿获得3分
****在976813092发送1分钟到了，本次答案为：2
第1名为小刻，我的小刻！获得5分
第2名为时间会证明一切获得4分
第3名为🌿获得3分
****在1005680380发送1分钟到了，本次答案为：2
第1名为小刻，我的小刻！获得5分
第2名为时间会证明一切获得4分
第3名为🌿获得3分
****在863714537发送1分钟到了，本次答案为：2
第1名为小刻，我的小刻！获得5分
第2名为时间会证明一切获得4分
第3名为🌿获得3分
****在954475045发送	Q30、你们想不想风铃留下来呢？
****在952792192发送	Q30、你们想不想风铃留下来呢？
****在976813092发送	Q30、你们想不想风铃留下来呢？
****在1005680380发送	Q30、你们想不想风铃留下来呢？
****在863714537发送	Q30、你们想不想风铃留下来呢？
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 一二三亖
 takepart 850419987时间会证明一切   在 群952792192 说了 懂的都懂
 ***** 1551938653迪迦   在 群1005680380 说了 不想
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 想
 ***** 354624803小刻，我的小刻！   在 群1005680380 说了 想
 takepart 2718417985🌿   在 群1005680380 说了 想
 ***** 2718417985🌿   在 群1005680380 说了 想
 ***** 2638379627一个官服的渣渣   在 群1005680380 说了 不想
 takepart 850419987时间会证明一切   在 群952792192 说了 想
 ***** 850419987时间会证明一切   在 群952792192 说了 想
 takepart 317803349李老father   在 群863714537 说了 想
 ***** 317803349李老father   在 群863714537 说了 想
 ***** 2498732056庞桃刻三   在 群1005680380 说了 想
 takepart 850419987时间会证明一切   在 群952792192 说了 queshi
 takepart 2718417985🌿   在 群1005680380 说了 [CQ:image,file=bbd624a6cb0f30c72bb23444227bc6c5.image]
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 [CQ:image,file=6a79949ce0c451d499a6250ad607f613.image]
 takepart 850419987时间会证明一切   在 群952792192 说了 不想
 ***** 850419987时间会证明一切   在 群952792192 说了 不想
 takepart 2718417985🌿   在 群1005680380 说了 [CQ:image,file=a59d1d398077bb14e73863bfc6a13e5d.image]
 takepart 850419987时间会证明一切   在 群952792192 说了 想不想
 ***** 850419987时间会证明一切   在 群952792192 说了 想不想
 ***** 2498732056庞桃刻三   在 群1005680380 说了 想个寄吧
 takepart 354624803小刻，我的小刻！   在 群1005680380 说了 但我更想你换回之前的头像[CQ:face,id=277]💦💦💦
 ***** 354624803小刻，我的小刻！   在 群1005680380 说了 但我更想你换回之前的头像[CQ:face,id=277]💦💦💦
 takepart 2718417985🌿   在 群1005680380 说了 要钱大可不必
 takepart 2718417985🌿   在 群1005680380 说了 [CQ:image,file=5bd0ffd081b8a617a82245d3a307ecc9.image]
 takepart 315310152自己   在 群952792192 说了 [CQ:image,file=3abcfc2cff1a1678cc7c7534f1cd344a.image]
 takepart 850419987时间会证明一切   在 群952792192 说了 我以为是海王星
****在954475045发送1分钟到了，本次答案为：爱！
****在952792192发送1分钟到了，本次答案为：爱！
****在976813092发送1分钟到了，本次答案为：爱！
****在1005680380发送1分钟到了，本次答案为：爱！
****在863714537发送1分钟到了，本次答案为：爱！
----向635691684发送System.ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection. (Parameter 'index')
   at System.Collections.Generic.List`1.get_Item(Int32 index)
   at QuestionMeeting.NotGet() in D:\WindChimeRobot\Robot\WindChime\WindChime\QuestionMeeting.cs:line 154
   at Yumis.Program.Main(String[] args) in D:\WindChimeRobot\Robot\WindChime\WindChime\Program.cs:line 54
----向635691684发送635691684   15
----向635691684发送3117274565   1
----向635691684发送3524805398   20
----向635691684发送1619282956   0
----向635691684发送2804450737   0
----向635691684发送2383252689   0
----向635691684发送2033605410   0
----向635691684发送3396742970   0
----向635691684发送2937954408   0
----向635691684发送315310152   62
----向635691684发送2482185932   0
----向635691684发送3212813880   0
----向635691684发送3593173269   0
----向635691684发送3534417975   0
